step 0: train loss 10.9899, val loss 10.9894
iter 0: loss 11.0031, time 11638.08ms, mfu -100.00%
iter 10: loss 11.0014, time 154.58ms, mfu 108.89%
iter 20: loss 10.9879, time 154.36ms, mfu 108.91%
iter 30: loss 10.9666, time 154.80ms, mfu 108.89%
iter 40: loss 10.9564, time 154.67ms, mfu 108.88%
iter 50: loss 10.9303, time 155.08ms, mfu 108.85%
iter 60: loss 10.9013, time 155.10ms, mfu 108.82%
iter 70: loss 10.8798, time 154.71ms, mfu 108.82%
iter 80: loss 10.8532, time 155.29ms, mfu 108.77%
iter 90: loss 10.7933, time 155.10ms, mfu 108.75%
iter 100: loss 10.7883, time 155.69ms, mfu 108.69%
iter 110: loss 10.7087, time 155.04ms, mfu 108.67%
iter 120: loss 10.6727, time 155.08ms, mfu 108.66%
iter 130: loss 10.5979, time 156.55ms, mfu 108.55%
iter 140: loss 10.5374, time 155.55ms, mfu 108.51%
iter 150: loss 10.5129, time 155.99ms, mfu 108.45%
iter 160: loss 10.4211, time 156.00ms, mfu 108.40%
iter 170: loss 10.3924, time 155.37ms, mfu 108.39%
iter 180: loss 10.2583, time 155.26ms, mfu 108.39%
iter 190: loss 10.2104, time 155.42ms, mfu 108.38%
iter 200: loss 10.1891, time 154.93ms, mfu 108.41%
iter 210: loss 10.0464, time 155.41ms, mfu 108.40%
iter 220: loss 10.0216, time 155.67ms, mfu 108.37%
iter 230: loss 10.0043, time 155.78ms, mfu 108.34%
iter 240: loss 9.7902, time 156.65ms, mfu 108.25%
iter 250: loss 9.8704, time 155.24ms, mfu 108.27%
iter 260: loss 9.6455, time 156.01ms, mfu 108.23%
iter 270: loss 9.6090, time 155.95ms, mfu 108.20%
iter 280: loss 9.5168, time 155.66ms, mfu 108.20%
iter 290: loss 9.5200, time 155.56ms, mfu 108.20%
iter 300: loss 9.5435, time 155.56ms, mfu 108.20%
iter 310: loss 9.3193, time 155.41ms, mfu 108.21%
iter 320: loss 9.2582, time 155.76ms, mfu 108.19%
iter 330: loss 9.1745, time 155.71ms, mfu 108.18%
iter 340: loss 9.0865, time 154.88ms, mfu 108.23%
iter 350: loss 9.1130, time 155.88ms, mfu 108.21%
iter 360: loss 8.9754, time 155.42ms, mfu 108.22%
iter 370: loss 8.9278, time 155.67ms, mfu 108.21%
iter 380: loss 8.8636, time 155.56ms, mfu 108.21%
iter 390: loss 8.8548, time 156.28ms, mfu 108.16%
iter 400: loss 8.8947, time 155.28ms, mfu 108.18%
iter 410: loss 8.7865, time 155.29ms, mfu 108.20%
iter 420: loss 8.7492, time 155.53ms, mfu 108.21%
iter 430: loss 8.4342, time 156.41ms, mfu 108.15%
iter 440: loss 8.4989, time 156.48ms, mfu 108.09%
iter 450: loss 8.5704, time 155.49ms, mfu 108.11%
iter 460: loss 8.5155, time 155.83ms, mfu 108.10%
iter 470: loss 8.3878, time 156.99ms, mfu 108.01%
iter 480: loss 8.3930, time 155.29ms, mfu 108.05%
iter 490: loss 8.3618, time 155.72ms, mfu 108.05%
iter 500: loss 8.3027, time 155.74ms, mfu 108.06%
iter 510: loss 8.4302, time 155.82ms, mfu 108.05%
iter 520: loss 8.1181, time 155.91ms, mfu 108.04%
iter 530: loss 8.1928, time 156.22ms, mfu 108.01%
iter 540: loss 8.2378, time 155.20ms, mfu 108.06%
iter 550: loss 8.1148, time 155.60ms, mfu 108.07%
iter 560: loss 8.0213, time 155.83ms, mfu 108.07%
iter 570: loss 7.9192, time 156.08ms, mfu 108.04%
iter 580: loss 7.9161, time 156.04ms, mfu 108.03%
iter 590: loss 7.9533, time 155.16ms, mfu 108.07%
iter 600: loss 7.9399, time 155.76ms, mfu 108.07%
iter 610: loss 7.7669, time 156.28ms, mfu 108.03%
iter 620: loss 7.8225, time 155.67ms, mfu 108.04%
iter 630: loss 8.0945, time 156.32ms, mfu 108.01%
iter 640: loss 7.6221, time 155.65ms, mfu 108.02%
iter 650: loss 7.8127, time 156.32ms, mfu 107.99%
iter 660: loss 7.8456, time 156.34ms, mfu 107.95%
iter 670: loss 7.6034, time 156.48ms, mfu 107.92%
iter 680: loss 7.7222, time 155.95ms, mfu 107.92%
iter 690: loss 7.6035, time 156.51ms, mfu 107.88%
iter 700: loss 7.5742, time 155.58ms, mfu 107.91%
iter 710: loss 7.6264, time 155.03ms, mfu 107.98%
iter 720: loss 7.5561, time 155.47ms, mfu 108.01%
iter 730: loss 7.4369, time 155.64ms, mfu 108.02%
iter 740: loss 7.4733, time 156.09ms, mfu 108.00%
iter 750: loss 7.6577, time 155.75ms, mfu 108.01%
iter 760: loss 7.5730, time 156.15ms, mfu 107.99%
iter 770: loss 7.3350, time 155.95ms, mfu 107.98%
iter 780: loss 7.2441, time 156.23ms, mfu 107.96%
iter 790: loss 7.2372, time 156.21ms, mfu 107.94%
iter 800: loss 7.2889, time 156.33ms, mfu 107.91%
iter 810: loss 7.3376, time 155.64ms, mfu 107.94%
iter 820: loss 7.0919, time 155.51ms, mfu 107.97%
iter 830: loss 7.2722, time 155.83ms, mfu 107.97%
iter 840: loss 7.3353, time 155.93ms, mfu 107.97%
iter 850: loss 7.0653, time 156.10ms, mfu 107.96%
iter 860: loss 7.1591, time 156.35ms, mfu 107.93%
iter 870: loss 7.2287, time 155.86ms, mfu 107.93%
iter 880: loss 7.3344, time 155.32ms, mfu 107.98%
iter 890: loss 7.2353, time 155.59ms, mfu 108.00%
iter 900: loss 6.6693, time 155.63ms, mfu 108.01%
iter 910: loss 6.8758, time 156.65ms, mfu 107.96%
iter 920: loss 7.1375, time 156.15ms, mfu 107.94%
iter 930: loss 7.0830, time 155.72ms, mfu 107.96%
iter 940: loss 6.9014, time 155.52ms, mfu 107.98%
iter 950: loss 6.7826, time 156.50ms, mfu 107.94%
iter 960: loss 6.8658, time 156.17ms, mfu 107.93%
iter 970: loss 6.8050, time 155.97ms, mfu 107.93%
iter 980: loss 6.7467, time 155.72ms, mfu 107.94%
iter 990: loss 6.6982, time 155.89ms, mfu 107.95%
step 1000: train loss 6.7764, val loss 6.7914
saving checkpoint to out_openwebtext
iter 1000: loss 6.6754, time 5062.76ms, mfu 97.48%
