step 0: train loss 10.9886, val loss 10.9897
iter 0: loss 10.9933, time 18541.87ms, mfu -100.00%
iter 10: loss 10.3076, time 147.91ms, mfu 113.80%
iter 20: loss 9.7335, time 148.07ms, mfu 113.79%
iter 30: loss 9.4674, time 148.07ms, mfu 113.78%
iter 40: loss 9.1560, time 148.43ms, mfu 113.74%
iter 50: loss 8.9412, time 148.45ms, mfu 113.71%
iter 60: loss 8.8005, time 147.97ms, mfu 113.71%
iter 70: loss 8.5039, time 148.31ms, mfu 113.69%
iter 80: loss 8.3588, time 148.73ms, mfu 113.64%
iter 90: loss 8.1178, time 149.54ms, mfu 113.53%
iter 100: loss 7.9688, time 147.98ms, mfu 113.55%
iter 110: loss 7.9520, time 149.01ms, mfu 113.49%
iter 120: loss 7.5527, time 148.70ms, mfu 113.46%
iter 130: loss 7.3108, time 148.67ms, mfu 113.44%
iter 140: loss 7.3475, time 149.80ms, mfu 113.33%
iter 150: loss 6.9760, time 149.33ms, mfu 113.27%
iter 160: loss 6.8376, time 148.82ms, mfu 113.25%
iter 170: loss 6.8945, time 149.15ms, mfu 113.21%
iter 180: loss 6.8551, time 149.63ms, mfu 113.14%
iter 190: loss 6.7505, time 148.68ms, mfu 113.15%
iter 200: loss 6.5614, time 148.63ms, mfu 113.16%
iter 210: loss 6.6607, time 148.66ms, mfu 113.17%
iter 220: loss 6.2894, time 148.46ms, mfu 113.19%
iter 230: loss 6.3749, time 148.07ms, mfu 113.24%
iter 240: loss 6.1389, time 149.20ms, mfu 113.19%
iter 250: loss 6.3966, time 148.57ms, mfu 113.20%
iter 260: loss 6.4217, time 149.40ms, mfu 113.15%
iter 270: loss 6.3202, time 149.23ms, mfu 113.11%
iter 280: loss 6.1733, time 149.07ms, mfu 113.10%
iter 290: loss 6.1369, time 148.48ms, mfu 113.12%
