step 0: train loss 10.9899, val loss 10.9894
iter 0: loss 11.0031, time 11739.42ms, mfu -100.00%
iter 10: loss 11.0014, time 154.78ms, mfu 108.75%
iter 20: loss 10.9879, time 154.47ms, mfu 108.77%
iter 30: loss 10.9667, time 154.87ms, mfu 108.77%
iter 40: loss 10.9564, time 154.57ms, mfu 108.78%
iter 50: loss 10.9303, time 155.68ms, mfu 108.71%
iter 60: loss 10.9013, time 154.50ms, mfu 108.74%
iter 70: loss 10.8798, time 155.75ms, mfu 108.67%
iter 80: loss 10.8532, time 155.15ms, mfu 108.65%
iter 90: loss 10.7934, time 155.05ms, mfu 108.64%
iter 100: loss 10.7882, time 155.51ms, mfu 108.60%
iter 110: loss 10.7087, time 155.20ms, mfu 108.59%
iter 120: loss 10.6727, time 156.08ms, mfu 108.51%
iter 130: loss 10.5979, time 155.11ms, mfu 108.51%
iter 140: loss 10.5375, time 155.10ms, mfu 108.52%
iter 150: loss 10.5128, time 155.79ms, mfu 108.47%
iter 160: loss 10.4211, time 155.35ms, mfu 108.46%
iter 170: loss 10.3925, time 155.34ms, mfu 108.45%
iter 180: loss 10.2582, time 155.47ms, mfu 108.43%
iter 190: loss 10.2103, time 155.08ms, mfu 108.44%
iter 200: loss 10.1893, time 155.43ms, mfu 108.43%
iter 210: loss 10.0464, time 155.74ms, mfu 108.39%
iter 220: loss 10.0217, time 155.18ms, mfu 108.40%
iter 230: loss 10.0042, time 155.84ms, mfu 108.36%
iter 240: loss 9.7903, time 155.07ms, mfu 108.38%
iter 250: loss 9.8705, time 155.62ms, mfu 108.36%
iter 260: loss 9.6455, time 155.57ms, mfu 108.34%
iter 270: loss 9.6091, time 155.54ms, mfu 108.33%
iter 280: loss 9.5168, time 155.43ms, mfu 108.33%
iter 290: loss 9.5200, time 155.05ms, mfu 108.35%
iter 300: loss 9.5435, time 155.79ms, mfu 108.32%
iter 310: loss 9.3193, time 155.49ms, mfu 108.31%
iter 320: loss 9.2583, time 156.31ms, mfu 108.25%
iter 330: loss 9.1745, time 155.55ms, mfu 108.25%
iter 340: loss 9.0866, time 156.42ms, mfu 108.18%
iter 350: loss 9.1130, time 155.13ms, mfu 108.21%
iter 360: loss 8.9754, time 156.73ms, mfu 108.13%
iter 370: loss 8.9276, time 155.33ms, mfu 108.16%
iter 380: loss 8.8634, time 155.43ms, mfu 108.17%
iter 390: loss 8.8548, time 156.93ms, mfu 108.08%
iter 400: loss 8.8947, time 155.86ms, mfu 108.07%
iter 410: loss 8.7864, time 155.31ms, mfu 108.10%
iter 420: loss 8.7491, time 155.50ms, mfu 108.12%
iter 430: loss 8.4341, time 155.29ms, mfu 108.14%
iter 440: loss 8.4991, time 156.13ms, mfu 108.11%
iter 450: loss 8.5703, time 155.73ms, mfu 108.11%
iter 460: loss 8.5154, time 155.58ms, mfu 108.12%
iter 470: loss 8.3878, time 155.88ms, mfu 108.10%
iter 480: loss 8.3932, time 155.72ms, mfu 108.10%
iter 490: loss 8.3616, time 155.54ms, mfu 108.11%
iter 500: loss 8.3026, time 155.63ms, mfu 108.12%
iter 510: loss 8.4301, time 155.98ms, mfu 108.10%
iter 520: loss 8.1180, time 155.45ms, mfu 108.12%
iter 530: loss 8.1926, time 156.36ms, mfu 108.07%
iter 540: loss 8.2376, time 156.01ms, mfu 108.05%
iter 550: loss 8.1147, time 155.20ms, mfu 108.09%
iter 560: loss 8.0212, time 155.87ms, mfu 108.08%
iter 570: loss 7.9192, time 155.96ms, mfu 108.07%
iter 580: loss 7.9159, time 155.57ms, mfu 108.08%
iter 590: loss 7.9534, time 155.45ms, mfu 108.10%
iter 600: loss 7.9401, time 156.32ms, mfu 108.06%
iter 610: loss 7.7666, time 155.99ms, mfu 108.04%
iter 620: loss 7.8213, time 156.14ms, mfu 108.02%
iter 630: loss 8.0942, time 155.82ms, mfu 108.02%
iter 640: loss 7.6220, time 156.05ms, mfu 108.00%
iter 650: loss 7.8126, time 156.85ms, mfu 107.94%
iter 660: loss 7.8450, time 156.09ms, mfu 107.93%
iter 670: loss 7.6033, time 155.55ms, mfu 107.95%
iter 680: loss 7.7208, time 155.56ms, mfu 107.98%
iter 690: loss 7.6030, time 155.44ms, mfu 108.01%
iter 700: loss 7.5746, time 155.48ms, mfu 108.04%
iter 710: loss 7.6255, time 155.50ms, mfu 108.06%
iter 720: loss 7.5555, time 154.84ms, mfu 108.12%
iter 730: loss 7.4378, time 156.05ms, mfu 108.10%
iter 740: loss 7.4738, time 155.49ms, mfu 108.11%
iter 750: loss 7.6582, time 155.59ms, mfu 108.12%
iter 760: loss 7.5732, time 155.17ms, mfu 108.15%
